carrier,total_on,total_1060,total_60
AA,80.39,13.03333333,6.573333333
AS,82.79,11.71,5.5
B6,73.03,17.69,9.283333333
DL,79.48333333,14.41,6.113333333
OO,72.465,12.685,14.855
UA,76.81333333,16.57,6.613333333
US,84.79666667,11.24666667,3.96
WN,66.61,24.455,8.94
HA,91.52,5.26,3.22
